StrokeNumber,Time,Distance,Speed,StrokeRate,DistancePerStroke,StrokeDuration,SpeedChange,RollingSpeed,RollingDistancePerStroke,RollingStrokeRate,SpeedConsistency,TimeGap,IsRowing,SessionSegment,SessionPhase,SpeedDecline,DistancePerStrokeDecline,StrokeRateChange,FatigueSignal,FatigueConfirmed,FatigueSeverity,SpeedScore,DistancePerStrokeScore,RhythmScore,ConsistencyScore,StrokeScore
62,164.3,536.2,3.44,23.0,8.9,2.608695652173913,-0.040000000000000036,3.3869999999999996,9.27,22.1,0.06600505031182582,2.6000000000000227,True,1,Rowing segment,-0.014983518130056885,-0.03575418994413411,0.022123893805309734,False,False,0.0,100.0,100.0,88.93805309734513,80.06097608725014,95.3
63,166.9,545.0,3.35,23.0,8.8,2.608695652173913,-0.08999999999999986,3.3950000000000005,9.21,22.25,0.05400617248673217,2.5999999999999943,True,1,Rowing segment,-0.017380881030866265,-0.029050279329609116,0.015486725663716876,False,False,0.0,100.0,100.0,92.25663716814157,92.77500022890032,97.8
64,169.7,554.3,3.34,23.0,9.3,2.608695652173913,-0.010000000000000231,3.4,9.21,22.3,0.04472135954999586,2.799999999999983,True,1,Rowing segment,-0.01887923284387179,-0.029050279329609116,0.013274336283185872,False,False,0.0,100.0,100.0,93.36283185840706,100.0,99.0
65,172.1,562.6,3.36,23.0,8.3,2.608695652173913,0.020000000000000018,3.399,9.010000000000002,22.65,0.04557045826702507,2.4000000000000057,True,1,Rowing segment,-0.018579562481270687,-0.0067039106145253945,0.0022123893805308477,False,False,0.0,100.0,100.0,98.89380530973457,100.0,99.8
66,174.7,571.7,3.4,23.0,9.0,2.608695652173913,0.040000000000000036,3.397,9.01,22.65,0.04498147766951791,2.5999999999999943,True,1,Rowing segment,-0.01798022175606834,-0.006703910614525196,0.0022123893805308477,False,False,0.0,100.0,100.0,98.89380530973457,100.0,99.8
67,177.4,580.5,3.42,22.5,8.9,2.6666666666666665,0.020000000000000018,3.399,8.95,22.75,0.04557045826702507,2.700000000000017,True,1,Rowing segment,-0.018579562481270687,0.0,0.006637168141592857,False,False,0.0,100.0,99.99999999999997,96.68141592920357,100.0,99.5
68,180.3,589.6,3.38,23.0,9.1,2.608695652173913,-0.040000000000000036,3.4,8.91,22.9,0.04496912521077357,2.9000000000000057,True,1,Rowing segment,-0.01887923284387179,0.004469273743016665,0.013274336283185714,False,False,0.0,100.0,97.76536312849164,93.36283185840715,100.0,98.2
69,182.7,598.5,3.37,23.0,8.9,2.608695652173913,-0.009999999999999787,3.3979999999999997,8.96,22.95,0.04589843860815607,2.3999999999999773,True,1,Rowing segment,-0.018279892118669448,-0.0011173184357543646,0.015486725663716719,False,False,0.0,100.0,100.0,92.25663716814164,100.0,98.8
70,185.3,607.4,3.37,23.0,8.9,2.608695652173913,0.0,3.3910000000000005,8.91,22.95,0.04408325456829757,2.6000000000000227,True,1,Rowing segment,-0.016182199580461708,0.004469273743016665,0.015486725663716719,False,False,0.0,100.0,97.76536312849164,92.25663716814164,100.0,98.1
71,187.9,616.3,3.37,23.5,8.9,2.5531914893617023,0.0,3.38,8.9,23.0,0.031269438398822645,2.5999999999999943,True,1,Rowing segment,-0.012885825591849013,0.005586592178770831,0.017699115044247725,False,False,0.0,100.0,97.20670391061458,91.15044247787614,100.0,97.7
72,190.9,626.4,3.39,19.5,10.1,3.076923076923077,0.020000000000000018,3.375,9.02,22.65,0.023687784005919522,3.0,True,1,Rowing segment,-0.01138747377884335,-0.007821229050279361,0.0022123893805308477,False,False,0.0,100.0,100.0,98.89380530973457,100.0,99.8
73,193.7,635.6,3.35,22.5,9.2,2.6666666666666665,-0.040000000000000036,3.375,9.059999999999999,22.6,0.023687784005919522,2.799999999999983,True,1,Rowing segment,-0.01138747377884335,-0.012290502793296026,0.0,False,False,0.0,100.0,100.0,100.0,100.0,100.0
74,196.1,643.8,3.31,23.0,8.3,2.608695652173913,-0.040000000000000036,3.372,8.959999999999999,22.6,0.029739610697593725,2.4000000000000057,True,1,Rowing segment,-0.0104884626910399,-0.0011173184357541662,0.0,False,False,0.0,100.0,100.0,100.0,100.0,100.0
75,198.9,653.3,3.36,23.0,9.4,2.608695652173913,0.04999999999999982,3.372,9.07,22.6,0.029739610697593725,2.8000000000000114,True,1,Rowing segment,-0.0104884626910399,-0.013407821229050392,0.0,False,False,0.0,100.0,100.0,100.0,100.0,100.0
76,201.5,662.1,3.4,21.5,8.9,2.7906976744186047,0.040000000000000036,3.372,9.06,22.45,0.029739610697593725,2.5999999999999943,True,1,Rowing segment,-0.0104884626910399,-0.012290502793296226,0.006637168141593014,False,False,0.0,100.0,100.0,96.6814159292035,100.0,99.5
77,204.3,670.8,3.38,22.5,8.7,2.6666666666666665,-0.020000000000000018,3.368,9.04,22.45,0.02485513584307614,2.8000000000000114,True,1,Rowing segment,-0.009289781240635344,-0.010055865921787694,0.006637168141593014,False,False,0.0,100.0,100.0,96.6814159292035,100.0,99.5
78,206.9,680.1,3.38,22.5,9.3,2.6666666666666665,0.0,3.368,9.06,22.4,0.02485513584307614,2.5999999999999943,True,1,Rowing segment,-0.009289781240635344,-0.012290502793296226,0.008849557522124019,False,False,0.0,100.0,100.0,95.57522123893798,100.0,99.3
79,209.7,689.5,3.39,22.5,9.4,2.6666666666666665,0.010000000000000231,3.37,9.11,22.35,0.02581988897471593,2.799999999999983,True,1,Rowing segment,-0.009889121965837688,-0.017877094972067055,0.011061946902654867,False,False,0.0,100.0,100.0,94.46902654867256,100.0,99.2
80,212.3,698.2,3.34,23.0,8.7,2.608695652173913,-0.050000000000000266,3.367,9.09,22.35,0.027507574714370195,2.6000000000000227,True,1,Rowing segment,-0.008990110878034238,-0.015642458100558723,0.011061946902654867,False,False,0.0,100.0,100.0,94.46902654867256,100.0,99.2
81,214.9,706.9,3.29,23.0,8.6,2.608695652173913,-0.04999999999999982,3.3590000000000004,9.059999999999999,22.3,0.03665151201974244,2.5999999999999943,True,1,Rowing segment,-0.0065927479772252585,-0.012290502793296026,0.013274336283185872,False,False,0.0,100.0,100.0,93.36283185840706,100.0,99.0
82,217.5,715.5,3.29,23.0,8.6,2.608695652173913,0.0,3.349,8.91,22.65,0.04067486256208417,2.5999999999999943,True,1,Rowing segment,-0.0035960443512138016,0.004469273743016665,0.0022123893805308477,False,False,0.0,100.0,97.76536312849164,98.89380530973457,100.0,99.1
83,220.1,724.2,3.31,23.0,8.7,2.608695652173913,0.020000000000000018,3.3449999999999998,8.86,22.7,0.0424918292799398,2.5999999999999943,True,1,Rowing segment,-0.0023973629008091123,0.010055865921787694,0.004424778761061852,False,False,0.0,100.0,94.97206703910615,97.78761061946908,100.0,97.9
84,222.9,733.4,3.3,21.5,9.2,2.7906976744186047,-0.010000000000000231,3.344,8.95,22.55,0.043512450325548555,2.8000000000000114,True,1,Rowing segment,-0.0020976925382080063,0.0,0.0022123893805310046,False,False,0.0,100.0,99.99999999999997,98.89380530973449,100.0,99.8
85,225.5,741.6,3.29,23.5,8.2,2.5531914893617023,-0.009999999999999787,3.3369999999999997,8.83,22.6,0.04620004810002307,2.5999999999999943,True,1,Rowing segment,0.0,0.013407821229050192,0.0,False,False,0.0,99.99999999999997,93.2960893854749,100.0,100.0,97.7
86,227.9,750.3,3.38,23.5,8.8,2.5531914893617023,0.08999999999999986,3.335,8.819999999999999,22.8,0.04352521619066868,2.4000000000000057,True,1,Rowing segment,0.0005993407252022115,0.014525139664804558,0.008849557522123862,False,False,0.0,99.7003296373989,92.73743016759771,95.57522123893807,100.0,96.7
87,230.3,758.3,3.3,31.5,8.0,1.9047619047619047,-0.08000000000000007,3.3269999999999995,8.75,23.7,0.04164666186436134,2.4000000000000057,True,1,Rowing segment,0.002996703626011457,0.02234636871508372,0.04867256637168132,False,False,0.0,98.50164818699426,88.82681564245809,75.66371681415934,100.0,91.9
88,231.3,760.7,3.31,45.0,2.4,1.3333333333333333,0.010000000000000231,3.3200000000000003,8.059999999999999,25.95,0.03741657386773949,1.0,True,1,Rowing segment,0.0050943961642191974,0.09944134078212298,0.14823008849557512,False,False,0.0,97.45280191789035,50.2793296089385,25.884955752212445,100.0,70.6
89,233.7,769.3,3.36,23.0,8.5,2.608695652173913,0.04999999999999982,3.317,7.970000000000001,26.0,0.03198958163736021,2.3999999999999773,True,1,Rowing segment,0.005993407252022648,0.10949720670391047,0.15044247787610612,False,False,0.0,97.00329637398862,45.251396648044725,24.77876106194694,100.0,68.5
